Nom;IMO;MMSI;Armateur
Delia;9234317;304011029;Wilson AS (NO)
Eems Sun;9431587;245070000;Wilson AS (NO)
Ems Lake;9978913;304877000;Wilson AS (NO)
Ems Lion;9978901;304707000;Wilson AS (NO)
H&S Bravery;9195547;246231000;Wilson AS (NO)
H&S Fairness;9579456;246822000;Wilson AS (NO)
H&S Honesty;9421611;245407000;Wilson AS (NO)
H&S Patience;9421659;245072000;Wilson AS (NO)
H&S Wisdom;9195559;245339000;Wilson AS (NO)
Jumbo;8518297;311001762;Wilson AS (NO)
Nestor;9234305;304011028;Wilson AS (NO)
Thebe;9199696;304011026;Wilson AS (NO)
Theseus;9199256;304011027;Wilson AS (NO)
WES Elisa;9953975;255805680;Wilson AS (NO)
Wilson Alster;9222429;314019000;Wilson AS (NO)
Wilson Amsterdam;9313735;314602000;Wilson AS (NO)
Wilson Aveiro;9375850;314464000;Wilson AS (NO)
Wilson Aviles;9313709;314603000;Wilson AS (NO)
Wilson Avonmouth;9313747;314604000;Wilson AS (NO)
Wilson Baerl;9194311;314605000;Wilson AS (NO)
Wilson Bergen;9557408;314035000;Wilson AS (NO)
Wilson Bilbao;9014705;311001812;Wilson AS (NO)
Wilson Blyth;9124419;314544000;Wilson AS (NO)
Wilson Borg;9106924;314545000;Wilson AS (NO)
Wilson Brake;9150511;311001814;Wilson AS (NO)
Wilson Bremen;9014717;311001795;Wilson AS (NO)
Wilson Brest;9126900;314547000;Wilson AS (NO)
Wilson Brugge;9150494;249772000;Wilson AS (NO)
Wilson Cadiz;9192612;314216000;Wilson AS (NO)
Wilson Caen;9173290;314179000;Wilson AS (NO)
Wilson Calais;9156101;314255000;Wilson AS (NO)
Wilson Clyde;9178458;314187000;Wilson AS (NO)
Wilson Cork;9178460;314180000;Wilson AS (NO)
Wilson Dagenham;9409613;305810000;Wilson AS (NO)
Wilson Davanger;9390111;314618000;Wilson AS (NO)
Wilson Dieppe;9409625;305813000;Wilson AS (NO)
Wilson Dirdal;9409637;255915955;Wilson AS (NO)
Wilson Dordrecht;9145140;314474000;Wilson AS (NO)
Wilson Dover;9005754;259179000;Wilson AS (NO)
Wilson Drammen;9390094;314620000;Wilson AS (NO)
Wilson Drogheda;9390123;314633000;Wilson AS (NO)
Wilson Dublin;9390109;314631000;Wilson AS (NO)
Wilson Duisburg;9557410;314037000;Wilson AS (NO)
Wilson Dundalk;9496587;255915954;Wilson AS (NO)
Wilson Dundee;9390159;314635000;Wilson AS (NO)
Wilson Dunmore;9383924;314634000;Wilson AS (NO)
Wilson Durness;9390135;314632000;Wilson AS (NO)
Wilson Dusavik;9390147;314621000;Wilson AS (NO)
Wilson Dvina;9005742;311001793;Wilson AS (NO)
Wilson Eco I;1052139;257177000;Wilson AS (NO)
Wilson Eco II;1052141;257943000;Wilson AS (NO)
Wilson Eco III;1052153;259284000;Wilson AS (NO)
Wilson Eco IV;1052177;259325000;Wilson AS (NO)
Wilson Eco V;1052189;257432240;Wilson AS (NO)
Wilson Eco VI;1052191;257473070;Wilson AS (NO)
Wilson Elbe;9060675;311001769;Wilson AS (NO)
Wilson Ems;9117117;311001824;Wilson AS (NO)
Wilson Eyde;9491733;314377000;Wilson AS (NO)
Wilson Fedje;9491757;314397000;Wilson AS (NO)
Wilson Finnfjord;9491769;314398000;Wilson AS (NO)
Wilson Flex I;9911434;255915000;Wilson AS (NO)
Wilson Flex II;9911446;255909640;Wilson AS (NO)
Wilson Flex III;9911458;255791000;Wilson AS (NO)
Wilson Flex IV;9911460;255806463;Wilson AS (NO)
Wilson Flex V;9911472;255806462;Wilson AS (NO)
Wilson Flushing;9491745;314396000;Wilson AS (NO)
Wilson Gaeta;9171096;311001903;Wilson AS (NO)
Wilson Gdansk;9056026;314191000;Wilson AS (NO)
Wilson Gdynia;9056064;311001816;Wilson AS (NO)
Wilson Ghent;9150236;314548000;Wilson AS (NO)
Wilson Gijon;9056038;314194000;Wilson AS (NO)
Wilson Goole;9126687;314549000;Wilson AS (NO)
Wilson Grimsby;9056040;257836000;Wilson AS (NO)
Wilson Grip;9126912;314550000;Wilson AS (NO)
Wilson Halsvik;9017422;314630000;Wilson AS (NO)
Wilson Hansa;9583859;257755000;Wilson AS (NO)
Wilson Hanstholm;9119567;314629000;Wilson AS (NO)
Wilson Harrier;9064891;311001800;Wilson AS (NO)
Wilson Hawk;9064906;;Wilson AS (NO)
Wilson Heron;9116022;314551000;Wilson AS (NO)
Wilson Hirtshals;9240251;;Wilson AS (NO)
Wilson Hobro;9229128;;Wilson AS (NO)
Wilson Holla;9229130;;Wilson AS (NO)
Wilson Hook;9017434;257077560;Wilson AS (NO)
Wilson Horten;9119579;;Wilson AS (NO)
Wilson Humber;9017381;314207000;Wilson AS (NO)
Wilson Husum;9017379;314208000;Wilson AS (NO)
Wilson Lahn;9198458;314259000;Wilson AS (NO)
Wilson Leer;9150482;311001803;Wilson AS (NO)
Wilson Leith;9150509;311001804;Wilson AS (NO)
Wilson Lista;9117208;257904000;Wilson AS (NO)
Wilson Liverpool;9617296;209304000;Wilson AS (NO)
Wilson Loviisa;9213600;314608000;Wilson AS (NO)
Wilson Luga;9156187;314471000;Wilson AS (NO)
Wilson Maas;9145554;314217000;Wilson AS (NO)
Wilson Main;8913485;311001783;Wilson AS (NO)
Wilson Mersey;9177868;257914000;Wilson AS (NO)
Wilson Monsoon;9163582;;Wilson AS (NO)
Wilson Mosel;9060687;314424000;Wilson AS (NO)
Wilson Nanjing;9431018;;Wilson AS (NO)
Wilson Nantes;9430973;;Wilson AS (NO)
Wilson Narvik;9430961;;Wilson AS (NO)
Wilson Newcastle;9431006;;Wilson AS (NO)
